"filename", "language", "JSON with Comments", "JSON", "Markdown", "pip requirements", "TypeScript", "JavaScript", "Shell Script", "comment", "blank", "total"
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\rack\rack.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\rack\rack.service.ts", "TypeScript", 0, 0, 0, 0, 83, 0, 0, 6, 53, 142
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\warehouse\dto\wareHouse.dto.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 6, 26
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\warehouse\entities\warehouse.entity.ts", "TypeScript", 0, 0, 0, 0, 56, 0, 0, 5, 18, 79
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\warehouse\utils\formatCode.utils.ts", "TypeScript", 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\warehouse\warehouse.controller.ts", "TypeScript", 0, 0, 0, 0, 45, 0, 0, 0, 7, 52
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\warehouse\warehouse.module.ts", "TypeScript", 0, 0, 0, 0, 12, 0, 0, 0, 3, 15
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\inventory\warehouse\warehouse.service.ts", "TypeScript", 0, 0, 0, 0, 71, 0, 0, 13, 47, 131
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\inward-confirm\dto\inward-confirm.dto.ts", "TypeScript", 0, 0, 0, 0, 17, 0, 0, 0, 8, 25
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\inward-confirm\entities\inward.entity.ts", "TypeScript", 0, 0, 0, 0, 4, 0, 0, 0, 3, 7
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\inward-confirm\inward-confirm.controller.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 5, 25
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\inward-confirm\inward-confirm.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\inward-confirm\inward-confirm.service.ts", "TypeScript", 0, 0, 0, 0, 300, 0, 0, 28, 97, 425
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\inward\dto\createInwardDto.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 3, 9
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\inward\dto\linkLotDto.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\inward\entities\inward.entity.ts", "TypeScript", 0, 0, 0, 0, 44, 0, 0, 0, 12, 56
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\inward\entities\inward_status.enum.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\inward\inward.controller.ts", "TypeScript", 0, 0, 0, 0, 32, 0, 0, 4, 7, 43
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\inward\inward.module.ts", "TypeScript", 0, 0, 0, 0, 15, 0, 0, 0, 3, 18
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\inward\inward.service.ts", "TypeScript", 0, 0, 0, 0, 131, 0, 0, 2, 34, 167
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\outward\dto\dispatchSession.dto.ts", "TypeScript", 0, 0, 0, 0, 24, 0, 0, 0, 5, 29
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\outward\dto\scan_bag.dto.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\kunal\Desktop\perojecccttt\wms-project\wms-backend\src\modules\operations\outward\entities\dispatchSession.entity.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 13, 48
